8,78,87,y
6,78,91,y
8,81,95,y
8,75,83,y
12,78,85,y
10,80,91,y
33,78,80,y
28,77,82,y
23,81,90,y
17,21,72,r
14,19,75,r
13,20,74,r
23,22,74,r
27,21,74,r
24,20,72,r
42,28,62,r
36,26,70,r
28,21,69,r
88,33,9,b
96,35,10,b
97,35,10,b
108,35,5,b
110,36,8,b
110,36,7,b
115,38,8,b
127,40,6,b
118,37,8,b
98,92,89,w
96,92,90,w
93,90,91,w
106,95,90,w
80,74,74,w
98,89,87,w
108,90,82,w
106,92,88,w
99,83,78,w
31,50,16,g
30,48,14,g
28,48,13,g
33,48,11,g
36,49,8,g
38,50,9,g
49,54,10,g
51,51,8,g
50,55,12,g
12,36,119,o
10,32,115,o
7,31,116,o
10,34,116,o
8,29,113,o
10,30,112,o
28,39,109,o
18,33,105,o
17,32,110,o
3,86,103,y
3,91,108,y
4,86,100,y
2,85,100,y
4,93,109,y
4,91,106,y
6,79,89,y
3,89,101,y
3,82,94,y
20,25,74,r
21,25,78,r
19,22,78,r
23,24,66,r
22,23,75,r
32,26,73,r
41,28,61,r
43,27,64,r
37,25,65,r
84,33,9,b
108,36,6,b
86,32,8,b
100,34,8,b
122,36,5,b
107,34,6,b
102,33,6,b
131,40,6,b
98,31,5,b
96,90,86,w
98,95,91,w
97,93,91,w
104,91,83,w
82,73,71,w
103,93,87,w
111,88,73,w
115,95,81,w
107,88,80,w
29,50,17,g
31,49,14,g
29,47,13,g
30,47,12,g
31,47,10,g
30,46,10,g
34,49,11,g
34,49,9,g
35,48,9,g
10,33,119,o
12,32,121,o
7,31,117,o
13,33,116,o
18,32,115,o
8,29,115,o
33,36,108,o
26,35,109,o
17,30,108,o
5,71,91,y
4,73,95,y
3,73,92,y
20,75,84,y
13,76,88,y
12,76,89,y
22,73,75,y
21,74,80,y
17,71,80,y
16,22,66,r
16,22,64,r
12,20,64,r
17,20,62,r
15,17,58,r
16,19,59,r
31,24,57,r
25,22,56,r
19,19,55,r
76,30,11,b
87,32,10,b
81,28,6,b
82,31,7,b
98,32,6,b
92,32,6,b
97,32,5,b
108,34,5,b
103,34,5,b
91,85,82,w
90,87,86,w
91,87,86,w
97,85,80,w
75,67,68,w
96,86,83,w
110,86,77,w
